Workout Title,Category,Routine Link,Tables,Main Goal,Workout Type,Training Level,Program Duration,Days Per Week,Time Per Workout,Equipment Required,Target Gender,Recommended Supps
Pain & Gain: Dwayne Johnson And Mark Wahlberg Workout,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/pain-gain-dwayne-johnson-mark-wahlberg-workout,"[{'title': 'Day 1 - Legs, Back, and Biceps', 'content': [[], ['Dumbbell Lunge', '4', '8-12'], ['Leg Curl', '4', '8-12'], ['Squat', '4', '8-12'], ['Bent Over Row', '4', '8-12'], ['Pull Up', '4', '8-12'], ['Barbell Curl', '4', '8-12']]}, {'title': 'Day 2 - Chest, Shoulders, and Triceps', 'content': [[], ['Bench Press', '4', '8-12'], ['Incline Dumbbell Bench Press', '4', '8-12'], ['Skullcrushers', '4', '8-12'], ['Cable Tricep Extension', '4', '8-12'], ['Seated Arnold Press', '4', '8-12'], ['Cable Crossovers', '4', '8-12'], ['Push Up', '3', 'Failure']]}, {'title': 'Monday - Shoulders', 'content': [[], ['Machine Press', '3', '21'], ['Dumbbell Lateral Raise superset w/ Front Dumbbell Raise', '3', '8'], ['Cable Bent Over Reverse Flye', '5', '12, 10, 8, 6, 4'], ['Hammer Strength Shrug', '5', '12, 10, 8, 6, 4'], ['4-Way Neck Machine', '4', '12']]}, {'title': 'Tuesday - Back', 'content': [[], ['Wide Grip Lat Pull Down', '5', '12, 10, 8, 6, 4'], ['Close Grip Lat Pull Down', '5', '12, 10, 8, 6, 4'], ['One Arm Machine Row', '4', '12'], ['Hyperextension', '4', '15, 15, 12, 12']]}, {'title': 'Thursday - Legs', 'content': [[], ['Leg Press', '4', '25, 20, 18, 16'], ['Smith Machine Lunge', '4', '8'], ['Leg Curl', '4', '12, 10, 8, 6'], ['Standing Calf Raise', '6', '6']]}, {'title': 'Friday - Arms', 'content': [[], ['Dumbbell Curl', '5', '12, 10, 8, 6, 4'], ['Machine Curl', '6', '12, 10, 8, 6, 21, 21'], ['Cable Tricep Extension', '5', '12, 10, 8, 6, 20'], ['Overhead Cable Tricep Extension', '4', '12, 10, 8, 20'], ['One Arm Reverse Grip Cable Tricep Extension', '2', '15']]}, {'title': 'Saturday - Chest', 'content': [[], ['Incline Dumbbell Press', '5', '12, 10, 8, 6, 4'], ['Dumbbell Bench Press', '5', '12, 10, 8, 6, 4'], ['Cable Crossover (super set with Push Ups)', '4', '12'], ['Push Up', '4', '15']]}]",Build Muscle,Split,Intermediate,12 weeks,5,45-60 minutes,"Bodyweight, Dumbbells",Male & Female,"Whey Protein, Protein Bars (Optional), Multivitamin, Fish Oil"
Push-Pull Superset Workout Program Ft. NFL Tight End Vernon Davis,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/vernon-davis-push-pull-superset-workout,"[{'title': 'Watch the video (3:12)', 'content': [[], ['1a. Barbell Bench Press', '4', '15, 12, 8, 6'], ['1b. Hammer Strength Row', '4', '15, 12, 8, 6'], ['2a. Barbell Military Press', '4', '15, 12, 8, 6'], ['2b. Pull Ups*', '4', '10-15'], ['3a. Dumbbell Curls', '4', '15, 12, 8, 6'], ['3b. Dumbbell Shrugs', '4', '15, 12, 8, 6']]}, {'title': 'Watch the video (3:12)', 'content': [[], ['1a. Squat', '4', '15, 12, 8, 6'], ['1b. Romanian Deadlift', '4', '15, 12, 8, 6'], ['2a. Leg Press', '4', '15, 12, 8, 6'], ['2b. Leg Curl', '4', '15, 12, 8, 6'], ['3a. Dumbbell Lunge', '4', '15, 12, 8, 6'], ['3b. Calf Raise', '4', '10-15']]}]",Build Muscle,Split,Advanced,10 weeks,4,50 minutes,"Barbell, Bodyweight, Dumbbells, Machines",Male,"Whey Protein, Creatine Monohydrate, Essential Fats (EFAs), Multivitamin, Weight Gainer (optional)"
Jai Courtney Workout: How Jai Got Swole for Terminator Genisys,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/jai-courtney-workout-terminator-genisys,"[{'title': 'Real Food', 'content': [[], ['Diamond Push-Up', '3-6', '10-20'], ['Inverted Row', '3-6', '10-20'], ['Bodyweight Bulgarian Split Squat', '3-6', '10-20'], ['Floor Crunch', '3-6', '10-20'], ['Jump Squat', '3-6', '10-20']]}, {'title': 'Real Food', 'content': [[], ['Diamond Push-Up', '3-6', '10-20'], ['Medium-Grip Chin-Up', '3-6', '10-20'], ['Box Jump', '3-6', '10-20'], ['Pike Push-Up', '3-6', '10-20'], ['Hanging Leg Lift', '3-6', '10-20']]}, {'title': 'Real Food', 'content': [[], ['Feet Elevated Inverted Row', '3-6', '10-20'], ['TRX Push-Up', '3-6', '10-20'], ['V-Ups', '3-6', '10-20'], ['Walking Lunge', '3-6', '10-20'], ['Goblet Squat', '3-6', '10-20']]}, {'title': 'Real Food', 'content': [[], ['Dumbbell Deadlift', '3-6', '10-20'], ['Depth Push-Up', '3-6', '10-20'], ['TRX Row', '3-6', '10-20'], ['Single-Leg TRX Squat', '3-6', '10-20'], ['Planks', '3-6', '20 sec']]}]",Build Muscle,Split,Intermediate,12 weeks,6,45-60 minutes,"Barbell, Bodyweight, Dumbbells, Machines",Male & Female,"Whey Protein, Creatine, Multivitamin, BCAAs, Citrulline Malate, Agmatine Sulfate, Beta-Alanine, ZMA"
Scarlett Johansson Inspired Workout Routine: Train Like Black Widow,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/scarlett-johansson-workout-program,"[{'title': 'Scarlett Johansson Workout Day 1: Full Body Strength Training', 'content': [[], ['1. Barbell Back Squat', '5', '8, 8, 8, 5, 3'], ['2. Military Press', '5', '8, 8, 8, 5, 3'], ['3. Barbell Lunge', '3', '12 Each'], ['4. Chin Up', '3', '12, 10, 8'], ['5. Dumbbell Row', '3', '12, 10, 8']]}, {'title': 'Scarlett Johansson Workout Day 2: Full Body Fat Loss Circuit', 'content': [[], ['1. Treadmill Warm Up', '1', '15 Mins*'], ['2a. Push Up', '5', '5'], ['2b. Air Squat', '5', '8'], ['2c. Pull Up', '5', '3'], ['2d. Lateral Lunge', '5', '5 Each'], ['2e. Bicep Curl', '5', '5'], ['2f. Tricep Pushdown', '5', '5'], ['3. Jump Rope', '1', '10 Mins**'], ['4a. Medicine Ball Slams', '5', '5'], ['4b. Wall Balls', '5', '5'], ['4c. Medicine Ball Oblique Toss', '5', '5 Each'], ['4d. Medicine Ball Front Squat', '5', '5'], ['4e. Medicine Ball Chest Pass', '5', '5'], ['5. LISS Cool Down', '1', '5 Mins***']]}, {'title': 'Scarlett Johansson Workout Day 4: Full Body Strength Training', 'content': [[], ['1. Trap Bar Deadlift', '5', '8, 8, 8, 5, 3'], ['2. Barbell Bench Press', '5', '8, 8, 8, 5, 3'], ['3. Bulgarian Split Squat', '3', '12 Each'], ['4. Inverted Row', '3', '12'], ['5. Hip Thrust', '3', '12, 10, 8']]}, {'title': 'Scarlett Johansson Workout Day 6: Full Body Fat Loss Circuit', 'content': [[], ['1. Treadmill Warm Up', '1', '15 Mins*'], ['2a. Kettlebell Row', '5', '5 Each'], ['2b. Kettlebell Swing', '5', '5'], ['2c. Kettlebell Press', '5', '5 Each'], ['2d. Kettlebell Romanian Deadlift', '5', '5'], ['2e. Kettlebell Goblet Squat', '5', '5'], ['3. Water Rowing Machine', '1', '10 Mins**'], ['4a. Dumbbell Curl', '5', '5'], ['4b. Dumbbell Squat', '5', '5'], ['4c. Dumbbell Overhead Extension', '5', '5'], ['4d. Dumbbell Squat', '5', '5'], ['4e. Dumbbell Hammer Curl', '5', '5'], ['4f. Dumbbell Squat', '5', '5'], ['4g. Dumbbell Kickback', '5', '5'], ['5. LISS Cool Down', '1', '5 Mins***']]}]",Build Muscle,Split,Intermediate,8 weeks,4,45-60 minutes,"Barbell, Bodyweight, Dumbbells, Machines",Male & Female,"100% Whey Protein, Creatine Monohydrate, Weight Gainer (Optional), Pre-Workout (Optional), BCAAs (Optional)"
Scott Herman’s High Volume Training Upper/Lower Workout,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/scott-herman-german-volume-training-upper-lower-workout,"[{'title': 'High Volume Training Upper Workout', 'content': [[], ['1. Rack Pull', '10', '5'], ['2. Dumbbell Bench Press', '10', '10'], ['3. Standing Dumbbell Press', '10', '10'], ['4. Reverse Grip Bent Over Row', '10', '10'], ['5a. Standing Alternate Bicep Curl', '3', '8'], ['5b. Incline Barbell Skull Crusher', '3', '8'], ['6a. Alternating Toe Touch', '4', '20 Each'], ['6b. Hanging Knee Raise', '4', '20']]}, {'title': 'High Volume Training Lower Workout', 'content': [[], ['1. Barbell Back Squat', '10', '10'], ['2. Barbell Glute Bridge', '10', '10'], ['3. Romanian Deadlift', '10', '10'], ['4. Standing Barbell Calf Raise', '10', '10'], ['5a. Cable Wood Chop', '4', '15 Each'], ['5b. Dumbbell Side Bench', '4', '15 Each']]}]",Build Muscle,Split,Beginner,10 weeks,4,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female,"Creatine, Whey Protein, Pre-Workout (optional), Multivitamin Packs"
Chadwick Boseman Inspired Workout: Train Like Black Panther,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/chadwick-boseman-workout-program,"[{'title': 'Chadwick Boseman Workout Day 1: Full Body Strength Circuit', 'content': [[], ['1. Deadlift', '3-5', '6-8'], ['2a. Push Up', '3-5', '8-15'], ['2b. Bodyweight Walking Lunge', '3-5', 'Distance'], ['2c. Pull Up', '3-5', '8-15'], ['2d. Dumbbell Overhead Press', '3-5', '6-8'], ['2e. Plank', '3-5', '20 Secs']]}, {'title': 'Chadwick Boseman Workout Day 3: Full Body Strength Circuit', 'content': [[], ['1. Bent Over Row', '3-5', '6-8'], ['2a. Air Squat', '3-5', '8-15'], ['2b. Dip', '3-5', '8-15'], ['2c. Chin Up', '3-5', '8-15'], ['2d. Push Up', '3-5', '8-15'], ['2e. Ab Crunch', '3-5', '8-15']]}, {'title': 'Chadwick Boseman Workout Day 5: Full Body Strength Circuit', 'content': [[], ['1. Squat', '3-5', '6-8'], ['2a. Dumbbell Bench Press', '3-5', '6-8'], ['2b. Lateral Raise', '3-5', '8-15'], ['2c. Step Ups', '3-5', '8-15'], ['2d. Band Pull Apart', '3-5', '8-15'], ['2e. Leg Raises', '3-5', '8-15'], ['3. 10-15 min Freestyle*', '-', '-']]}]",Lose Fat,Full Body,Beginner,12 weeks,4,30-45 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Kettle Bells",Male & Female,"Fat Burner, Whey Protein, BCAA Intra-Workout, Fish Oil (EFAs), Creatine Monohydrate"
Bodybuilding Icons: Eugen Sandow Inspired Workout Routine,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/eugen-sandow-workout,"[{'title': '3. Bent Press', 'content': [[], ['Dumbbell Curl', '1', '50 Each'], ['Reverse Barbell Curl', '1', '25'], ['Horizontal Biceps Curl', '1', '10 Each'], ['Standing Chest Fly', '1', '50'], ['Alternating Shoulder Press', '1', '15 Each'], ['Alternating Front Raise', '1', '10'], ['Wrist Flexors', '1', 'Failure'], ['Wrist Rotations', '1', 'Failure'], ['Lunge Punch', '1', '10 Each'], ['Push Ups', '1', '3'], ['Push Up with Resistance', '1', '2'], ['Full Sit Up', '1', '3'], ['Squats', '1', '10'], ['Side Bends', '1', '15 Each']]}, {'title': 'Eugen Sandow Inspired Upper Body Workout', 'content': [[], ['Alternating Standing Dumbbell Press', '3', '10-15'], ['Alternating Lateral Raise', '3', '10-15'], ['Seated Chest Press', '3', '10-15'], ['Push Up', '2-3', '100 Total'], ['Tricep Pushdown', '3', '15'], ['Pull Up', '3', '10-15'], ['High Seated Row', '3', '10-15'], ['Horizontal Cable Biceps Curl', '3', '15']]}, {'title': 'Eugen Sandow Lower Body and Core Workout', 'content': [[], ['Lunge Punch', '3', '10-15'], ['Squat', '3', '10'], ['Romanian Deadlift', '3', '10'], ['Leg Press', '3', '10-15'], ['Leg Curl', '3', '15'], ['Seated Calf Raise', '3', '15'], ['Weighted Rope Crunch', '3', '20'], ['Lying Leg Raise', '3', '20']]}]",Build Muscle,Split,Beginner,12 weeks,4,45-60 minutes,"Bodyweight, Dumbbells",Male & Female,"Whey Protein, Protein Bars (Optional), Multivitamin, Fish Oil"
Robert Downey Jr Inspired Workout Program: Train Like Iron Man,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/robert-downey-jr-workout,"[{'title': 'Robert Downey Jr Workout Day 1: Upper Workout', 'content': [[], ['1. Pull Up', '3', '8-12*'], ['2. Push Up', '3', '8-12'], ['3. Dumbbell Bench Press', '3', '8-12'], ['4. Dumbbell Row', '3', '8-12'], ['5. Dumbbell Military Press', '3', '8-12'], ['6a. TRX Suspension Push Up', '3', '8-12'], ['6b.. TRX Suspension Inverted Row', '3', '8-12'], ['7. Lateral Raise', '3', '8-12'], ['8. Bent Over Lateral Raise', '3', '12-15']]}, {'title': 'Robert Downey Jr Workout Day 2: Lower Workout', 'content': [[], ['1. Barbell Squat', '3', '8-12'], ['2. Leg Press', '3', '8-12'], ['3. Hamstring Curl', '3', '8-12'], ['4. Dumbbell Stiff Leg Deadlift', '3', '8-12'], ['5a. TRX Suspension Split Squat', '3', '12-15*'], ['5b. TRX Suspension Supported Pistol Squat', '3', '12-15 Each*'], ['6. Ab Crunch', '3', '20'], ['7. Hanging Leg Raise', '3', '12'], ['8. Plank', '3', '30 Secs']]}, {'title': 'Robert Downey Jr Workout Day 4: Upper Workout', 'content': [[], ['1. Inverted Row', '3', '8-12'], ['2. Dips', '3', '8-12*'], ['3. Seated Arnold Press', '3', '8-12'], ['4. Lat Pull Down', '3', '8-12'], ['5. Incline Dumbbell Press', '3', '8-12'], ['6. Dumbbell Front Raise', '3', '8-12'], ['7. Cable Row', '3', '8-12'], ['8. Kettlebell Swing', '3', '30'], ['9. Farmers Carry', '3', 'Distance**']]}, {'title': 'Robert Downey Jr Workout Day 5: Lower Workout', 'content': [[], ['1. Goblet Squat', '3', '8-12'], ['2. Hack Squat', '3', '8-12'], ['3. Seated Hamstring Curl', '3', '8-12'], ['4. Dumbbell Stiff Leg Deadlift', '3', '8-12'], ['5. Med Ball Squat', '3', '12-15'], ['6. Reverse Lunge', '3', '12-15'], ['7. Ab Crunch', '3', '20'], ['8. Hanging Leg Raise', '3', '12'], ['9. Plank', '3', '30 Secs']]}]",Build Muscle,Split,Intermediate,12 weeks,4,45-60 minutes,"Barbell, Dumbbells, Machines",Male & Female,"Whey Protein Powder, Creatine, Beta-Alanine, Citrulline Malate, Pre-Workout (optional)"
Ryan Reynolds Inspired Workout: Train Like Deadpool,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/ryan-reynolds-deadpool-inspired-workout,"[{'title': 'Ryan Reynolds Deadpool Workout Day 1: Legs', 'content': [[], ['1. Squat', '5', '5'], ['2. Bulgarian Split Squat', '4', '8'], ['3. Stiff Leg Dumbbell Deadlift', '4', '8'], ['4. SHELC', '3', '12'], ['5. Lateral Lunge', '3', '12']]}, {'title': 'Ryan Reynolds Deadpool Workout Day 2: Chest & Triceps', 'content': [[], ['1. Bench Press', '5', '5'], ['2. Incline Dumbbell Press', '4', '8'], ['3. Cable Fly', '3', '12'], ['4. Close Grip Bench Press', '4', '6'], ['5. Dip', '3', '12'], ['6. Skullcrusher', '3', '12']]}, {'title': 'Ryan Reynolds Deadpool Workout Day 3: Back & Biceps', 'content': [[], ['1. Bent Over Row', '4', '6'], ['2. Pull Ups', '4', '8'], ['3. One Arm Row', '4', '8'], ['4. Chin Up', '4', '6'], ['5. Hammer Curls', '3', '12'], ['6. Incline Curls', '3', '12']]}, {'title': 'Ryan Reynolds Deadpool Workout Day 4: Light Cardio & Abs', 'content': [[], ['1.Turkish Get Ups', '3', '8'], ['2. Plank', '3', '60 Secs'], ['3a. Ab Crunch', '3', '20'], ['3b. Lying Leg Raise', '3', '20'], ['3c. Oblique Crunch', '3', '15 Each'], ['3d. Heel Touches', '3', '15 Each']]}, {'title': 'Ryan Reynolds Deadpool Workout Day 5: Legs', 'content': [[], ['1. Sumo Deadlift', '5', '5'], ['2. Leg Press', '4', '8'], ['3. Hip Thrust', '4', '8'], ['4. Split Jumps', '3', '12'], ['5. Seated Calf Raise', '3', '20']]}, {'title': 'Ryan Reynolds Deadpool Workout Day 6: Shoulders', 'content': [[], ['1. Standing Dumbbell Press', '4', '6'], ['2. Lateral Raise', '4', '12'], ['3. Arnold Press', '3', '12'], ['4. Rear Delt Raise', '3', '12'], ['5. Reverse Cable Fly', '3', '12']]}, {'title': 'Ryan Reynolds Deadpool Workout Day 7: Light Cardio & Abs', 'content': [[], ['1. Turkish Get Up', '3', '8'], ['2. Plank', '3', '60 Secs'], ['3a. Ab Crunch', '3', '20'], ['3b. Lying Leg Raise', '3', '20'], ['3c. Oblique Crunch', '3', '15 Each'], ['3d. Heel Touches', '3', '15 Each']]}]",Build Muscle,Split,Intermediate,12 weeks,6,45-70 minutes,Dumbbells,Male & Female,"Whey Protein, Protein Bars (Optional), Multivitamin, Fish Oil"
"6 Week Hercules Workout - Build A Powerful, Commanding & Functional Physique",https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/6-week-dwayne-johnson-hercules,"[{'title': 'Weeks 1-3', 'content': [[], ['Weeks 1-3'], ['Exercise', 'Warm Up Sets', 'Work Sets', 'Rest (Sec)'], ['Alternate sets of:', '', '', ''], ['Partial deadlift', '2x12', '3x5-8', '60'], ['Lying leg curl', '2x12', '3x5-8', '60'], ['Alternate sets of:', '', '', ''], ['Flat bench barbell press', '2x12', '3x5', '60'], ['Barbell row', '2x12', '3x5', '60'], ['Alternate sets of:', '', '', ''], ['Dumbbell side lateral', '', '3x5', '60'], ['Dumbbell shrug', '', '3x5', '60'], ['Alternate sets of:', '', '', ''], ['Barbell curl', '', '3x5', '60'], ['Lying barbell triceps extension', '', '3x5', '60'], ['Superset:', '', '', ''], ['3-way incline board sit-up and standing calf raise', '', '3x20, 3x5-8', '']]}, {'title': 'Weeks 1-3', 'content': [[], ['Weeks 1-3'], ['Exercise', 'Warm Up Sets', 'Work Sets', 'Rest (Sec)'], ['Alternate sets of:', '', '', ''], ['Barbell back squat', '2x12', '3x5-8', '60'], ['Dumbbell Stiff Leg deadlift', '2x12', '3x5-8', '60'], ['Alternate sets of:', '', '', ''], ['Incline bench dumbbell press', '2x12', '3x5-8', '60'], ['Two-arm dumbbell row', '2x12', '3x5-8', '60'], ['Alternate sets of:', '', '', ''], ['Standing military press', '', '3x5-8', '60'], ['Single leg calf raise', '', '3x5-8', '60'], ['Alternate sets of:', '', '', ''], ['Standing dumbbell hammer curl', '', '3x5-8', '60'], ['Parallel bar dip', '', '3x5-8', '60'], ['Superset:', '', '', ''], ['Hanging leg raise and crunch', '', '3x20', '']]}, {'title': 'Weeks 1-3', 'content': [[], ['Weeks 1-3'], ['Exercise', 'Warm Up Sets', 'Work Sets', 'Rest (Sec)'], ['Alternate sets of:', '', '', ''], ['Leg press', '2x12', '3x5-8', '60'], ['Barbell RDL or Dumbbell Stiff Leg Deadlift', '2x12', '3x5-8', '60'], ['Alternate sets of:', '', '', ''], ['Flat bench dumbbell press', '2x12', '3x5-8', '60'], ['Neutral grip pull-up', '2x12', '3x5-8', '60'], ['Alternate sets of:', '', '', ''], ['Seated dumbbell shoulder press', '', '3x5-8', '60'], ['Dumbbell upright row', '', '3x5-8', '60'], ['Alternate sets of:', '', '', ''], ['Standing dumbbell curl', '', '3x5-8', '60'], ['Close-grip bench press', '', '3x5-8', '60'], ['Superset:', '', '', ''], ['Bicycle crunch and seated calf raise', '', '3x20, 3x5-8', '']]}, {'title': 'Weeks 4-6', 'content': [[], ['Weeks 4-6'], ['Exercise', 'Warm Up Sets', 'Work Sets', 'Rest (Sec)'], ['Superset:', '', '', ''], ['Barbell front squat', '2x12', '3x10-12', '-'], ['Dumbbell reverse lunge', '2x12', '3x10-12', '60'], ['Superset:', '', '', ''], ['Incline bench barbell press', '2x12', '3x10-12', '-'], ['Wide-grip pull-up', '2x12', '3x10-12', '60'], ['Superset:', '', '', ''], ['Wide-grip barbell upright row', '', '3x10-12', '-'], ['Arnold press', '', '3x10-12', '60'], ['Superset:', '', '', ''], ['Incline dumbbell curl', '', '3x10-12', '-'], ['Lying dumbbell extension', '', '3x10-12', '60'], ['Superset:', '', '', ''], ['Hanging leg raise and seated calf raise', '', '3x20, 3x10-12', '']]}, {'title': 'Weeks 4-6', 'content': [[], ['Weeks 4-6'], ['Exercise', 'Warm Up Sets', 'Work Sets', 'Rest (Sec)'], ['Superset:', '', '', ''], ['Barbell deadlift', '2x12', '3x10-12', '-'], ['Seated leg curl', '2x12', '3x10-12', '60'], ['Superset:', '', '', ''], ['Flat bench dumbbell press', '2x12', '3x10-12', '-'], ['Barbell row', '2x12', '3x10-12', '60'], ['Superset:', '', '', ''], ['Standing dumbbell lateral raise', '', '3x10-12', '-'], ['Front plate raise', '', '3x10-12', '60'], ['Superset:', '', '', ''], ['Reverse-grip barbell curl', '', '3x10-12', '-'], ['Parallel bar dips', '', '3x10-12', '60'], ['Superset:', '', '', ''], ['3-way sit-up and single leg calf raise', '', '3x20, 3x10-12', '']]}, {'title': 'Weeks 4-6', 'content': [[], ['Weeks 4-6'], ['Exercise', 'Warm Up Sets', 'Work Sets', 'Rest (Sec)'], ['Superset:', '', '', ''], ['Bulgarian split squat', '2x12', '3x10-12', '-'], ['Dumbbell Stiff Leg deadlift', '2x12', '3x10-12', '60'], ['Superset:', '', '', ''], ['Incline bench dumbbell press or incline Hammer Strength press', '2x12', '3x10-12', '-'], ['Inverted row', '2x12', '3x10-12', '60'], ['Superset:', '', '', ''], ['Standing barbell shoulder press', '', '3x10-12', '-'], ['Bent-over dumbbell lateral', '', '3x10-12', '60'], ['Superset:', '', '', ''], ['Barbell spider curl', '', '3x10-12', '-'], ['Dumbbell over triceps extension', '', '3x10-12', '60'], ['Superset:', '', '', ''], ['Crunch and standing calf raise', '', '3x20, 3x10-12', '']]}]",Build Muscle,Split,Beginner,18 weeks,4,60-90 minutes,"Bands, Barbell, Bodyweight, Cables, Dumbbells, Machines, Other",Male & Female,
Hollywood Muscle: Zac Efron Inspired Workout Routine,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/zac-efron-workout,"[{'title': 'Zac Efron Inspired Workout: Back and Biceps', 'content': [[], ['A1. Dumbbell Pullover', '3', '8-12'], ['A2. One Arm Dumbbell Row', '3', '8-12'], ['B1. Pull Up', '3', '8-12'], ['B2. Seated Cable Row', '3', '8-12'], ['C1. Lat Pull Down', '3', '8-12'], ['C2. Inverted Row', '3', '8-12'], ['D1. Chin Up', '3', '8-12'], ['D2. Drag Curl', '3', '8-12']]}, {'title': 'Zac Efron Inspired Workout: Legs and Core', 'content': [[], ['A1. Hack Squat', '3', '8-12'], ['A2. Bodyweight Jump Squats', '3', '8-12'], ['B1. Leg Curl', '3', '8-12'], ['B2. Exercise Ball Leg Curl', '3', '8-12'], ['C1. Walking Lunge', '3', '8-12 Each'], ['C2. Romanian Deadlifts', '3', '8-12'], ['D1. Seated Calf Raise', '3', '8-12'], ['D2. Standing Calf Raise', '3', '8-12'], ['E1. Sit Up', '5', '15'], ['E2. Oblique Crunch', '5', '12-15 Each'], ['E3. Lying Floor Leg Raise', '5', '15'], ['E4. Plank', '5', 'Timed Failure']]}, {'title': 'Zac Efron Inspired Workout: Chest, Shoulders and Arms', 'content': [[], ['A1. Dumbbell Floor Press', '3', '8-12'], ['A2. Push Up', '3', '8-12'], ['B1. Incline Bench Press', '3', '8-12'], ['B2. Lateral Raise', '3', '8-12'], ['C1. Standing Overhead Press', '3', '8-12'], ['C2. Band Pull Apart', '3', '8-12'], ['D1. Machine Fly', '3', '8-12'], ['D2. Push Up', '3', '8-12'], ['E1. Triceps Dip', '3', '8-12'], ['E2. Hammer Curl', '3', '8-12']]}]",Build Muscle,Split,Intermediate,8 weeks,4,,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male & Female,"Protein, Multivitamins, BCAAs"
